Time (sec),  Heater (%),  Temperature (C)
2.973247933387756348e+02,2.500000000000000000e+01,6.521999999999999886e+01
2.983251166343688965e+02,2.500000000000000000e+01,6.534000000000000341e+01
2.993265144824981689e+02,2.500000000000000000e+01,6.548999999999999488e+01
3.003256494998931885e+02,2.500000000000000000e+01,6.560999999999999943e+01
3.013192470073699951e+02,2.500000000000000000e+01,6.560999999999999943e+01
3.023133969306945801e+02,2.500000000000000000e+01,6.568000000000000682e+01
3.033148460388183594e+02,2.500000000000000000e+01,6.568000000000000682e+01
3.043148791790008545e+02,2.500000000000000000e+01,6.587999999999999545e+01
3.053149695396423340e+02,2.500000000000000000e+01,6.598000000000000398e+01
3.063179419040679932e+02,2.500000000000000000e+01,6.609999999999999432e+01
3.073177304267883301e+02,2.500000000000000000e+01,6.609999999999999432e+01
3.083187668323516846e+02,2.500000000000000000e+01,6.606999999999999318e+01
3.093213474750518799e+02,2.500000000000000000e+01,6.604999999999999716e+01
3.103242437839508057e+02,2.500000000000000000e+01,6.612000000000000455e+01
3.113265655040740967e+02,2.500000000000000000e+01,6.617000000000000171e+01
3.123301289081573486e+02,2.500000000000000000e+01,6.617000000000000171e+01
3.133324997425079346e+02,2.500000000000000000e+01,6.648999999999999488e+01
3.143355457782745361e+02,2.500000000000000000e+01,6.656000000000000227e+01
3.153323619365692139e+02,2.500000000000000000e+01,6.659000000000000341e+01
3.163305747509002686e+02,2.500000000000000000e+01,6.664000000000000057e+01
3.173287813663482666e+02,2.500000000000000000e+01,6.665999999999999659e+01
3.183280220031738281e+02,2.500000000000000000e+01,6.665999999999999659e+01
3.193264007568359375e+02,2.500000000000000000e+01,6.678000000000000114e+01
3.203233139514923096e+02,2.500000000000000000e+01,6.687999999999999545e+01
3.213237164020538330e+02,2.500000000000000000e+01,6.687999999999999545e+01
3.223277940750122070e+02,2.500000000000000000e+01,6.707999999999999829e+01
3.233253226280212402e+02,2.500000000000000000e+01,6.712000000000000455e+01
3.243228833675384521e+02,2.500000000000000000e+01,6.712000000000000455e+01
3.253212258815765381e+02,2.500000000000000000e+01,6.712000000000000455e+01
3.263228392601013184e+02,2.500000000000000000e+01,6.715000000000000568e+01
3.273237209320068359e+02,2.500000000000000000e+01,6.729000000000000625e+01
3.283276777267456055e+02,2.500000000000000000e+01,6.754000000000000625e+01
3.293230211734771729e+02,2.500000000000000000e+01,6.756000000000000227e+01
3.303282949924468994e+02,2.500000000000000000e+01,6.759000000000000341e+01
3.313223423957824707e+02,2.500000000000000000e+01,6.760999999999999943e+01
3.323211627006530762e+02,2.500000000000000000e+01,6.764000000000000057e+01
3.333241412639617920e+02,2.500000000000000000e+01,6.770999999999999375e+01
3.343226134777069092e+02,2.500000000000000000e+01,6.803000000000000114e+01
3.353214116096496582e+02,2.500000000000000000e+01,6.804999999999999716e+01
3.363212842941284180e+02,2.500000000000000000e+01,6.807999999999999829e+01
3.373167910575866699e+02,2.500000000000000000e+01,6.809999999999999432e+01
3.383200545310974121e+02,2.500000000000000000e+01,6.812999999999999545e+01
3.393221533298492432e+02,2.500000000000000000e+01,6.843999999999999773e+01
3.403215131759643555e+02,2.500000000000000000e+01,6.854000000000000625e+01
3.413194718360900879e+02,2.500000000000000000e+01,6.854000000000000625e+01
3.423204560279846191e+02,2.500000000000000000e+01,6.859000000000000341e+01
3.433188023567199707e+02,2.500000000000000000e+01,6.860999999999999943e+01
3.443183579444885254e+02,2.500000000000000000e+01,6.864000000000000057e+01
3.453190228939056396e+02,2.500000000000000000e+01,6.878000000000000114e+01
3.463197872638702393e+02,2.500000000000000000e+01,6.885999999999999943e+01
3.473168466091156006e+02,2.500000000000000000e+01,6.885999999999999943e+01
3.483180482387542725e+02,2.500000000000000000e+01,6.903000000000000114e+01
3.493146336078643799e+02,2.500000000000000000e+01,6.904999999999999716e+01
3.503144836425781250e+02,2.500000000000000000e+01,6.900000000000000000e+01
3.513175950050354004e+02,2.500000000000000000e+01,6.909999999999999432e+01
3.523130154609680176e+02,2.500000000000000000e+01,6.909999999999999432e+01
3.533116056919097900e+02,2.500000000000000000e+01,6.917000000000000171e+01
3.543053874969482422e+02,2.500000000000000000e+01,6.943999999999999773e+01
3.553045148849487305e+02,2.500000000000000000e+01,6.943999999999999773e+01
3.563032519817352295e+02,2.500000000000000000e+01,6.948999999999999488e+01
3.573044073581695557e+02,2.500000000000000000e+01,6.948999999999999488e+01
3.583047916889190674e+02,2.500000000000000000e+01,6.943999999999999773e+01
3.592991354465484619e+02,2.500000000000000000e+01,6.939000000000000057e+01
3.602969584465026855e+02,2.500000000000000000e+01,6.948999999999999488e+01
3.612959003448486328e+02,2.500000000000000000e+01,6.951999999999999602e+01
3.622934498786926270e+02,2.500000000000000000e+01,6.954000000000000625e+01
3.632935054302215576e+02,2.500000000000000000e+01,6.954000000000000625e+01
3.642909982204437256e+02,2.500000000000000000e+01,6.959000000000000341e+01
3.652899713516235352e+02,2.500000000000000000e+01,6.959000000000000341e+01
3.662892177104949951e+02,2.500000000000000000e+01,6.959000000000000341e+01
3.672904736995697021e+02,2.500000000000000000e+01,6.973999999999999488e+01
3.682902405261993408e+02,2.500000000000000000e+01,6.987999999999999545e+01
3.692940280437469482e+02,2.500000000000000000e+01,7.003000000000000114e+01
3.702918972969055176e+02,2.500000000000000000e+01,6.995999999999999375e+01
3.712906060218811035e+02,2.500000000000000000e+01,7.004999999999999716e+01
3.722899529933929443e+02,2.500000000000000000e+01,7.004999999999999716e+01
3.732876296043395996e+02,2.500000000000000000e+01,7.007999999999999829e+01
3.742844538688659668e+02,2.500000000000000000e+01,7.015000000000000568e+01
3.752892506122589111e+02,2.500000000000000000e+01,7.042000000000000171e+01
3.762876052856445312e+02,2.500000000000000000e+01,7.048999999999999488e+01
3.772839155197143555e+02,2.500000000000000000e+01,7.051999999999999602e+01
3.782806758880615234e+02,2.500000000000000000e+01,7.054000000000000625e+01
3.792802805900573730e+02,2.500000000000000000e+01,7.054000000000000625e+01
3.802783882617950439e+02,2.500000000000000000e+01,7.056999999999999318e+01
