Tiempo (seg), Entrada 25 (%), Temperatura 1 (°C)
8.092612862586975098e+01,3.000000000000000000e+01,3.932000000000000028e+01
8.193008446693420410e+01,3.000000000000000000e+01,3.972999999999999687e+01
8.293628501892089844e+01,3.000000000000000000e+01,3.985000000000000142e+01
8.393935847282409668e+01,3.000000000000000000e+01,4.020000000000000284e+01
8.494459128379821777e+01,3.000000000000000000e+01,4.028999999999999915e+01
8.594514703750610352e+01,3.000000000000000000e+01,4.071000000000000085e+01
8.695038866996765137e+01,3.000000000000000000e+01,4.082999999999999829e+01
8.794198274612426758e+01,3.000000000000000000e+01,4.120000000000000284e+01
8.894310927391052246e+01,3.000000000000000000e+01,4.132000000000000028e+01
8.994273805618286133e+01,3.000000000000000000e+01,4.165999999999999659e+01
9.094286799430847168e+01,3.000000000000000000e+01,4.185999999999999943e+01
9.194741368293762207e+01,3.000000000000000000e+01,4.211999999999999744e+01
9.295069217681884766e+01,3.000000000000000000e+01,4.234000000000000341e+01
9.395440864562988281e+01,3.000000000000000000e+01,4.268999999999999773e+01
9.494930911064147949e+01,3.000000000000000000e+01,4.275999999999999801e+01
9.595496392250061035e+01,3.000000000000000000e+01,4.317000000000000171e+01
9.695628738403320312e+01,3.000000000000000000e+01,4.336999999999999744e+01
9.795722866058349609e+01,3.000000000000000000e+01,4.360999999999999943e+01
9.895798373222351074e+01,3.000000000000000000e+01,4.371000000000000085e+01
9.996071934700012207e+01,3.000000000000000000e+01,4.407999999999999829e+01
1.009540305137634277e+02,3.000000000000000000e+01,4.420000000000000284e+01
1.019523324966430664e+02,3.000000000000000000e+01,4.453999999999999915e+01
1.029538934230804443e+02,3.000000000000000000e+01,4.465999999999999659e+01
1.039551393985748291e+02,3.000000000000000000e+01,4.490999999999999659e+01
1.049606511592864990e+02,3.000000000000000000e+01,4.507999999999999829e+01
1.059655556678771973e+02,3.000000000000000000e+01,4.521999999999999886e+01
1.069648337364196777e+02,3.000000000000000000e+01,4.561999999999999744e+01
1.079621160030364990e+02,3.000000000000000000e+01,4.565999999999999659e+01
1.089616284370422363e+02,3.000000000000000000e+01,4.597999999999999687e+01
1.099608829021453857e+02,3.000000000000000000e+01,4.614999999999999858e+01
1.109521446228027344e+02,3.000000000000000000e+01,4.642000000000000171e+01
1.119563136100769043e+02,3.000000000000000000e+01,4.657000000000000028e+01
1.129541165828704834e+02,3.000000000000000000e+01,4.684000000000000341e+01
1.139525682926177979e+02,3.000000000000000000e+01,4.706000000000000227e+01
1.149532511234283447e+02,3.000000000000000000e+01,4.714999999999999858e+01
1.159441435337066650e+02,3.000000000000000000e+01,4.753999999999999915e+01
1.169474925994873047e+02,3.000000000000000000e+01,4.761999999999999744e+01
1.179506995677947998e+02,3.000000000000000000e+01,4.800999999999999801e+01
1.189539790153503418e+02,3.000000000000000000e+01,4.807999999999999829e+01
1.199500918388366699e+02,3.000000000000000000e+01,4.828000000000000114e+01
1.209500894546508789e+02,3.000000000000000000e+01,4.845000000000000284e+01
1.219533886909484863e+02,3.000000000000000000e+01,4.859000000000000341e+01
1.229549114704132080e+02,3.000000000000000000e+01,4.897999999999999687e+01
1.239596323966979980e+02,3.000000000000000000e+01,4.906000000000000227e+01
1.249634480476379395e+02,3.000000000000000000e+01,4.928000000000000114e+01
1.259536800384521484e+02,3.000000000000000000e+01,4.945000000000000284e+01
1.269562840461730957e+02,3.000000000000000000e+01,4.957000000000000028e+01
1.279583723545074463e+02,3.000000000000000000e+01,4.996000000000000085e+01
1.289617452621459961e+02,3.000000000000000000e+01,5.006000000000000227e+01
1.299658718109130859e+02,3.000000000000000000e+01,5.038000000000000256e+01
1.309679830074310303e+02,3.000000000000000000e+01,5.050000000000000000e+01
1.319744162559509277e+02,3.000000000000000000e+01,5.060000000000000142e+01
1.329677095413208008e+02,3.000000000000000000e+01,5.096000000000000085e+01
1.339704504013061523e+02,3.000000000000000000e+01,5.103999999999999915e+01
1.349622066020965576e+02,3.000000000000000000e+01,5.139999999999999858e+01
1.359537124633789062e+02,3.000000000000000000e+01,5.146999999999999886e+01
1.369580981731414795e+02,3.000000000000000000e+01,5.167000000000000171e+01
1.379548668861389160e+02,3.000000000000000000e+01,5.190999999999999659e+01
1.389600765705108643e+02,3.000000000000000000e+01,5.200999999999999801e+01
1.399602191448211670e+02,3.000000000000000000e+01,5.232999999999999829e+01
1.409590752124786377e+02,3.000000000000000000e+01,5.250000000000000000e+01
1.419647760391235352e+02,3.000000000000000000e+01,5.277000000000000313e+01
1.429565608501434326e+02,3.000000000000000000e+01,5.292000000000000171e+01
1.439617486000061035e+02,3.000000000000000000e+01,5.300999999999999801e+01
1.449533653259277344e+02,3.000000000000000000e+01,5.332999999999999829e+01
1.459525594711303711e+02,3.000000000000000000e+01,5.342999999999999972e+01
1.469451303482055664e+02,3.000000000000000000e+01,5.347999999999999687e+01
1.479431996345520020e+02,3.000000000000000000e+01,5.382000000000000028e+01
1.489495043754577637e+02,3.000000000000000000e+01,5.396000000000000085e+01
1.499478578567504883e+02,3.000000000000000000e+01,5.400999999999999801e+01
1.509410934448242188e+02,3.000000000000000000e+01,5.439999999999999858e+01
1.519406557083129883e+02,3.000000000000000000e+01,5.445000000000000284e+01
1.529401812553405762e+02,3.000000000000000000e+01,5.477000000000000313e+01
1.539309208393096924e+02,3.000000000000000000e+01,5.486999999999999744e+01
1.549293313026428223e+02,3.000000000000000000e+01,5.500999999999999801e+01
1.559260139465332031e+02,3.000000000000000000e+01,5.528000000000000114e+01
1.569197692871093750e+02,3.000000000000000000e+01,5.542999999999999972e+01
1.579202685356140137e+02,3.000000000000000000e+01,5.582000000000000028e+01
1.589165573120117188e+02,3.000000000000000000e+01,5.584000000000000341e+01
1.599225447177886963e+02,3.000000000000000000e+01,5.596999999999999886e+01
1.609280652999877930e+02,3.000000000000000000e+01,5.625999999999999801e+01
1.619304296970367432e+02,3.000000000000000000e+01,5.635999999999999943e+01
1.629328684806823730e+02,3.000000000000000000e+01,5.667000000000000171e+01
1.639377417564392090e+02,3.000000000000000000e+01,5.682000000000000028e+01
1.649351017475128174e+02,3.000000000000000000e+01,5.689000000000000057e+01
1.659280912876129150e+02,3.000000000000000000e+01,5.721000000000000085e+01
1.669243857860565186e+02,3.000000000000000000e+01,5.724000000000000199e+01
1.679221045970916748e+02,3.000000000000000000e+01,5.740999999999999659e+01
1.689130616188049316e+02,3.000000000000000000e+01,5.775000000000000000e+01
1.699054372310638428e+02,3.000000000000000000e+01,5.771999999999999886e+01
1.709063479900360107e+02,3.000000000000000000e+01,5.786999999999999744e+01
1.719048473834991455e+02,3.000000000000000000e+01,5.821000000000000085e+01
1.729098930358886719e+02,3.000000000000000000e+01,5.825999999999999801e+01
1.739068183898925781e+02,3.000000000000000000e+01,5.835999999999999943e+01
1.749090814590454102e+02,3.000000000000000000e+01,5.867999999999999972e+01
1.759137039184570312e+02,3.000000000000000000e+01,5.877000000000000313e+01
1.769162042140960693e+02,3.000000000000000000e+01,5.886999999999999744e+01
1.779212548732757568e+02,3.000000000000000000e+01,5.911999999999999744e+01
1.789228963851928711e+02,3.000000000000000000e+01,5.918999999999999773e+01
1.799221632480621338e+02,3.000000000000000000e+01,5.931000000000000227e+01
1.809159488677978516e+02,3.000000000000000000e+01,5.957999999999999829e+01
1.819100725650787354e+02,3.000000000000000000e+01,5.967999999999999972e+01
1.829167087078094482e+02,3.000000000000000000e+01,5.982000000000000028e+01
1.839081051349639893e+02,3.000000000000000000e+01,5.992000000000000171e+01
1.849140737056732178e+02,3.000000000000000000e+01,6.017000000000000171e+01
1.859168341159820557e+02,3.000000000000000000e+01,6.031000000000000227e+01
1.869091055393218994e+02,3.000000000000000000e+01,6.053000000000000114e+01
1.879100794792175293e+02,3.000000000000000000e+01,6.072999999999999687e+01
1.889164266586303711e+02,3.000000000000000000e+01,6.079999999999999716e+01
